Food,Grams,Serving,Calories,Protein,Fiber,Sugar,Sodium,Sat.Fat, Price 
"Potato chips, plain, unsalted",56.8,1/4 bag (2 oz),304.2,4.0,2.7,0.1,4.5,6.2, $0.47 
"Potato chips, white, restructured, baked",12.0,10 chips,56.3,0.6,0.6,0.6,66.5,0.3, $0.17 
"Potato puffs, frozen, unprepared",91.0,10 pieces,162.0,1.8,2.1,0.3,389.5,2.9, $0.18 
Potato salad,95.0,1/3 cup,108.3,1.5,1.2,4.8,311.6,1.0, $0.18 
"Potatoes, baked, flesh",156.0,1 potato (2-1/3 in. x 4-3/4 in.),145.1,3.1,2.3,2.7,7.8,0.0, $0.24 
"Potatoes, boiled, cooked w/o skin, flesh",300.0,1 large (3 in. to 4-1/4 in. dia.),258.0,5.1,5.4,2.6,15.0,0.1, $0.40 
"Potatoes, french fries",255.0,1 package (9 oz),382.5,5.7,4.8,0.5,58.7,2.4, $0.90 
"Potatoes, french fries, from frozen, oven-heated",74.0,10 strip,127.3,2.0,1.9,0.2,23.7,0.8, $0.20 
"Potatoes, hash brown, frozen, plain, unprepared",340.0,1 package (12 oz),278.8,7.0,4.8,0.9,74.8,0.6, $1.73 
"Potatoes, hash browns, refrigerated, unprepared",159.0,"1 cup, unprepared",133.6,2.8,2.9,1.4,66.8,7.7, $0.97 
"Potatoes, mashed, dehydrated, granules w/ milk, dry form",200.0,1 cup,714.0,21.8,13.2,6.7,164.0,0.9, $0.27 
"Potatoes, mashed, dehydrated, granules w/o milk, dry form",200.0,1 cup,744.0,16.4,14.2,6.9,134.0,0.3, $0.26 
"Potatoes, scalloped, dry mix",77.8,1/2 package (2.75 oz),279.0,6.1,6.7,6.8,1228.0,0.9, $0.10 
"Potatoes, white, flesh & skin, baked",173.0,"1 potato, medium (2-1/4 in. to 3-1/4 in. diameter)",162.6,3.6,3.6,2.6,12.1,0.0, $0.21 
"Pretzels, hard, chocolate-flavor coating",11.0,1 pretzel,50.3,0.8,0.3,4.3,62.6,0.8, $0.11 
"Pretzels, hard, plain, salted",60.0,10 twists,230.4,6.0,2.0,1.3,748.8,0.2, $0.45 
"Pretzels, hard, plain, unsalted",60.0,10 twists,228.6,5.5,1.7,1.0,173.4,0.5, $0.45 
"Pretzels, soft",115.0,1 medium,388.7,9.4,2.0,0.3,626.8,0.8, $0.60 
"Protein supp, milk based, muscle milk, powder",11.0,1 tbsp,45.2,5.0,0.8,0.6,36.2,0.2, $0.16 
"Prune juice, canned",248.0,1 cup (8 fl oz),181.8,1.6,2.6,42.1,10.2,0.0, $0.45 
"Puddings, all flavors excpt chocolate, low cal, dry mix",260.0,1 cup,912.6,4.2,2.3,7.5,4589.0,0.0, $0.77 
"Puddings, chocolate, dry mix, reg, prepared w/ 2% milk",128.0,.5 cup,142.1,4.2,1.0,15.2,130.6,1.6, $0.32 
"Puddings, chocolate, ready-to-eat",108.0,"1 container, refrigerated, 4 oz container",153.4,2.3,0.0,18.5,164.2,1.4, $0.28 
"Puddings, rice, dry mix",27.0,"1 portion, amount to make 1/2 cup",101.5,0.7,0.2,12.5,98.8,0.7, $0.05 
"Puddings, tapioca, dry mix, prepared w/ 2% milk",128.0,1/2 cup,134.4,3.7,0.0,17.8,154.9,1.3, $0.24 
"Puddings, vanilla, ready-to-eat",110.0,"1 container, refrigerated 4 oz",143.0,1.6,0.0,18.7,156.2,1.1, $0.31 
"Puff pastry, frozen, ready-to-bake",47.0,1 shell,259.0,3.4,0.7,0.3,117.0,4.5, $0.30 
Pumpernickel rolls,28.0,"1 roll (pan, dinner, or small  roll) (2 in. square, 2 in. high)",77.6,3.0,1.5,0.1,137.8,0.1, $0.01 
"Pumpkin and/or squash seeds, whole, roasted",28.4,1 oz (85 seeds),126.4,5.3,5.2,0.0,5.1,1.0, $0.22 
"Pumpkin and/or squash seeds, whole, roasted, w/ salt",28.4,1 oz (85 seeds),126.4,5.3,5.2,0.0,720.4,1.0, $0.39 
Pumpkin pie,133.0,1 slice,323.2,5.2,2.4,25.1,317.9,2.6, $0.74 
"Pumpkin, cooked",245.0,"1 cup, mashed",49.0,1.8,2.7,5.1,2.5,0.1, $0.60 
"Radicchio, raw",40.0,5 leaves,9.2,0.6,0.4,0.2,8.8,0.0, $0.72 
"Radishes, raw",9.0,1 large (1 in. to 1-1/4 in. diameter),1.4,0.1,0.1,0.2,3.5,0.0, $0.03 
Raisin bran,53.0,1 cup (1 NLEA serving),165.4,3.0,4.8,17.1,179.7,0.2, $0.31 
Raisins,145.0,1 cup (not packed),433.6,4.5,5.4,85.8,16.0,0.1, $0.81 
"Raspberries, frozen, sweetened",284.0,1 package (10 oz),292.5,2.0,12.5,61.8,2.8,0.0, $2.55 
"Raspberries, frozen, unsweetened",140.0,"1 cup, unthawed",72.8,1.7,9.1,6.2,1.4,0.0, $2.53 
"Raspberries, raw",312.0,"1 pint, as purchased, yields",162.2,3.7,20.3,13.8,3.1,0.1, $5.63 
"Ravioli, cheese-filled, canned",242.0,1 cup,186.3,6.0,3.1,9.0,740.5,1.7, $0.71 
"Ravioli, meat-filled, w/ tomato sauce or meat sauce, canned",262.0,1 cup,254.1,8.5,3.9,5.2,741.5,3.8, $1.33 
"Red peppers, sweet, cooked",11.6,1 tbsp,3.2,0.1,0.1,0.5,0.2,0.0, $0.06 
"Red peppers, sweet, raw",92.0,"1 cup, sliced",28.5,0.9,1.9,3.9,3.7,0.0, $0.44 
"Refried beans, canned",442.0,1 can,397.8,22.0,16.4,2.4,1635.4,2.8, $1.82 
"Refried beans, canned, vegetarian",444.0,1 can,368.5,23.4,20.9,2.6,1909.2,0.6, $1.06 
"Rhubarb, raw",51.0,1 stalk,10.7,0.5,0.9,0.6,2.0,0.0, $0.37 
"Rice cake, cracker",40.0,10 mini cracks (each 1 cubic inch),156.8,2.8,1.7,0.4,28.4,0.4, $0.35 
"Rice noodles, cooked",176.0,1 cup,190.1,3.2,1.8,0.1,33.4,0.0, $0.92 
Roast beef spread,57.0,"1 serving, .25 cup",127.1,8.7,0.1,0.4,412.7,3.6, $0.80 
Rye rolls,36.0,1 medium roll,103.0,3.7,1.8,0.4,234.0,0.2, $0.02 
"Salad dressing, 1000 island",31.3,2 tbsp,118.4,0.3,0.3,4.7,300.6,1.6, $0.17 
"Salad dressing, 1000 island dressing, fat-free",32.0,2 tbsp,42.2,0.2,1.1,5.4,252.2,0.1, $0.17 
"Salad dressing, blue or roquefort cheese dressing",30.6,2 tbsp,148.2,0.4,0.1,1.1,196.6,2.5, $0.17 
"Salad dressing, blue or roquefort cheese, low cal",30.6,2 tbsp,30.3,1.6,0.0,0.9,287.6,0.8, $0.16 
"Salad dressing, caesar dressing, reg",29.4,2 tbsp,159.2,0.6,0.1,0.8,355.1,2.6, $0.20 
"Salad dressing, caesar, low cal",30.0,2 tbsp,33.0,0.1,0.0,4.9,344.4,0.2, $0.15 
"Salad dressing, french dressing",31.3,2 tbsp,142.8,0.2,0.0,5.0,261.3,1.8, $0.12 
"Salad dressing, french dressing, reduced calorie",32.5,2 tbsp,65.0,0.1,0.0,8.4,272.4,0.6, $0.08 
"Salad dressing, honey mustard",30.0,2 tbsp,139.2,0.3,0.1,4.8,153.6,1.5, $0.18 
"Salad dressing, italian dressing, fat-free",28.9,2 tbsp,13.6,0.3,0.2,2.6,326.0,0.1, $0.15 
"Salad dressing, italian dressing, reduced calorie",27.0,2 tbsp,54.0,0.1,0.1,0.5,290.0,0.8, $0.14 
"Salad dressing, mayo, imitation",30.0,2 tbsp,69.6,0.1,0.0,1.8,149.1,1.0, $0.07 
"Salad dressing, mayo, reg",27.6,2 tbsp,187.7,0.3,0.0,0.2,175.3,3.2, $0.09 
"Salad dressing, mayonnaise-like, fat-free",32.0,2 tbsp,26.9,0.1,0.6,3.3,252.2,0.2, $0.06 
"Salad dressing, peppercorn dressing",26.0,1 fl oz,146.6,0.3,0.0,0.6,286.8,2.7, $0.14 
"Salad dressing, russian dressing",30.6,2 tbsp,108.7,0.2,0.2,5.4,347.0,0.7, $0.20 
"Salad dressing, russian dressing, low cal",32.5,2 tbsp,45.8,0.2,0.1,7.1,282.1,0.2, $0.17 
"Salad dressing, sweet & sour",31.3,2 tbsp,4.7,0.0,0.0,1.2,65.0,0.0, $0.14 
"Salami, cooked, turkey",28.0,1 serving,48.2,5.4,0.0,0.3,310.0,0.8, $0.25 
"Salmon, atlantic, cooked",154.0,.5 fillet,280.3,39.2,0.0,0.0,86.2,1.9, $2.05 
"Salmon, chinook, smoked",85.0,3 oz,99.5,15.5,0.0,0.0,571.2,0.8, $1.08 
Salsa,130.0,.5 cup,37.7,2.0,2.5,5.2,924.3,0.0, $0.64 
"Sandwich spread, meatless",15.0,1 tbsp,22.4,1.2,0.5,0.7,94.5,0.2, $0.07 
"Sausage, italian, raw",91.0,"1 link, 5/lb",314.9,13.0,0.0,0.0,665.2,10.3, $0.62 
"Sausage, italian, turkey, smoked",56.0,"1 serving, 2 oz",88.5,8.4,0.5,1.8,519.7,1.9, $0.70 
"Sausage, smoked link sausage, pork & beef",85.0,3 oz,272.0,10.2,0.0,0.0,774.4,8.3, $0.58 
"Scallops, cooked, breaded & fried",31.0,2 large,67.0,5.6,0.0,0.0,143.8,0.8, $0.69 
"Scallops, cooked, steamed",85.0,3 oz,94.4,17.5,0.0,0.0,567.0,0.2, $2.06 
"Scrapple, pork",25.0,"1 oz, cooked",53.3,2.0,0.1,0.1,120.5,1.2, $0.13 
"Sea bass, cooked",85.0,3 oz,105.4,20.1,0.0,0.0,74.0,0.6, $1.58 
"Seaweed, raw",10.0,2 tbsp (1/8 cup),4.3,0.2,0.1,0.1,23.3,0.0, $0.03 
"Serrano peppers, raw",6.1,1 pepper,2.0,0.1,0.2,0.2,0.6,0.0, $0.03 
"Sesame seeds, whole, dried",9.0,1 tbsp,51.6,1.6,1.1,0.0,1.0,0.6, $0.59 
"Sherbet, orange",66.0,1 bar (2.75 fl oz),95.0,0.7,0.9,16.1,30.4,0.8, $0.25 
"Shortcake, biscuit-type, prepared from recipe",28.0,1 oz,96.9,1.7,0.0,0.0,141.7,1.1, $0.10 
"Shrimp, cooked",22.0,4 large,26.2,5.0,0.0,0.0,208.3,0.1, $0.67 
"Shrimp, cooked, breaded & fried",30.0,4 large,72.6,6.4,0.1,0.2,103.2,0.6, $0.67 
Slow roasted beef gravy,59.0,.25 cup,24.8,1.0,0.0,0.0,309.8,0.0, $0.23 
Slow roasted chicken gravy,59.0,.25 cup,20.1,1.0,0.0,0.0,240.1,0.0, $0.21 
"Soup, black bean, canned, condensed",312.0,"1 can (11 oz), undiluted",283.9,15.1,21.2,7.8,3026.4,1.1, $0.45 
"Soup, broccoli cheese, canned, condensed",303.0,"1 can, 10.7 oz (10.75 oz)",263.6,6.4,5.5,6.4,2002.8,4.8, $1.23 
"Soup, chicken & vegetables, canned, condensed",303.0,1 can (10.7 oz),184.8,8.9,2.1,3.8,2139.2,2.1, $0.34 
"Soup, chicken gumbo, canned, condensed",305.0,1 can (10.75 oz),137.3,6.4,4.9,5.9,2113.7,0.8, $0.45 
"Soup, chicken noodle, canned, condensed",124.0,.5 cup,59.5,2.9,1.1,0.0,844.4,0.5, $0.37 
"Soup, chicken w/ dumplings, canned, condensed",298.0,1 can (10.5 oz),235.4,13.6,1.2,1.4,1841.6,3.2, $1.25 
"Soup, chicken, canned, chunky, ready-to-serve",245.0,1 cup,174.0,12.4,1.5,2.1,867.3,1.9, $0.28 
"Soup, chunky vegetable, canned, ready-to-serve",231.0,1 cup,90.1,2.6,2.5,3.6,616.8,0.1, $0.77 
"Soup, cream of celery, canned, condensed",305.0,1 can (10.75 oz),219.6,4.0,1.8,4.1,1573.8,3.4, $0.62 
"Soup, cream of celery, canned, prepared w/ equal volume milk",602.0,"1 can (10.75 oz), prepared",397.3,13.8,1.8,0.0,1637.4,9.6, $1.43 
"Soup, cream of chicken, canned, condensed",305.0,1 can (10.75 oz),274.5,7.3,0.0,1.6,2141.1,5.2, $0.58 
"Soup, cream of chicken, canned, prepared w/ equal volume milk",602.0,"1 can (10.75 oz), prepared",463.1,18.1,0.6,0.0,2177.1,11.2, $1.34 
"Soup, cream of chicken, canned, prepared w/ equal volume water",602.0,"1 can (10.75 oz), prepared",288.4,8.5,0.6,0.0,2084.9,5.1, $0.94 
"Soup, cream of mushroom, low sodium, ready-to-serve, canned",305.0,1 can (10.75 oz),161.7,3.1,0.6,5.2,61.0,3.1, $1.02 
"Soup, cream of onion, canned, prepared w/equal volume milk",602.0,"1 can (10.75 oz), prepared",451.5,16.5,1.8,0.0,2438.1,9.8, $1.79 
"Soup, cream of potato, canned, prepared w/ equal volume milk",602.0,"1 can (10.75 oz), prepared",361.2,14.0,1.2,0.0,1384.6,9.2, $1.43 
"Soup, cream of potato, canned, prepared w/ equal volume water",593.0,"1 can (10.75 oz), prepared",177.9,4.3,1.2,0.0,1411.3,3.0, $1.01 
"Soup, cream of shrimp, canned, prepared w/ milk",31.6,1 fl oz,19.3,0.9,0.0,0.8,111.9,0.6, $0.22 
"Soup, cream of shrimp, canned, prepared w/ water",593.0,"1 can (10.75 oz), prepared",213.5,6.6,0.6,1.4,2318.6,7.6, $1.55 
"Soup, egg drop",241.0,1 cup,65.1,2.8,1.0,0.2,891.7,0.4, $0.52 
"Soup, Manhattan clam chowder, canned, condensed",305.0,1 can (10.75 oz),186.1,5.3,3.7,8.2,2128.9,0.9, $1.03 
"Soup, minestrone, canned, chunky, ready-to-serve",539.0,1 can (19 oz),285.7,11.5,12.9,11.7,1552.3,3.3, $1.98 
"Soup, mushroom w/ beefstock, canned, condensed",305.0,1 can (10.75 oz),207.4,7.7,0.3,7.0,2357.7,3.8, $0.49 
"Soup, mushroom w/ beefstock, canned, prepared w/ eq volume water",593.0,"1 can (10.75 oz), prepared",207.6,7.6,1.8,0.0,2354.2,3.8, $0.49 
"Soup, New England clam chowder, canned, prepared w/ water",31.0,1 fl oz,10.9,0.5,0.1,0.1,78.7,0.1, $0.09 
"Soup, New England clam chowder, canned, ready-to-serve",521.0,1 can,411.6,13.6,5.2,1.2,1787.0,4.1, $3.26 
"Soup, pea, green, canned, condensed",319.0,1 can (11.2 oz),398.8,20.9,12.4,20.8,2169.2,3.4, $0.55 
"Soup, pea, split w/ ham, canned, condensed",326.0,1 can (11.5 oz),459.7,25.0,5.5,0.0,2053.8,4.3, $1.28 
"Soup, tomato, canned, condensed",294.0,1 can,194.0,4.3,3.2,24.2,1108.4,0.3, $0.40 
"Soup, vegetable beef, canned, prepared w/ water",593.0,"1 can (10.75 oz), prepared",183.8,13.2,4.7,2.7,2069.6,2.0, $1.14 
"Soup, wonton",223.0,1 cup,71.4,4.6,0.4,0.8,905.4,0.1, $0.73 
Soybean oil,27.3,2 tbsp,240.9,0.0,0.0,0.0,0.0,4.3, $0.05 
"Spaghetti, cooked",140.0,1 cup,221.2,8.1,2.5,0.8,1.4,0.2, $0.13 
"Spaghetti, whole-wheat, cooked",140.0,1 cup,173.6,7.5,6.3,1.1,4.2,0.1, $0.25 
"Spinach, cooked",180.0,1 cup,41.4,5.3,4.3,0.8,126.0,0.1, $1.42 
"Spinach, frozen, chopped or leaf, cooked",220.0,1 package (10 oz) yields,74.8,8.8,8.1,1.1,213.4,0.3, $0.89 
"Spinach, raw",340.0,1 bunch,78.2,9.7,7.5,1.4,268.6,0.2, $2.69 
"Squash, spaghetti, cooked",155.0,1 cup,41.9,1.0,2.2,3.9,27.9,0.1, $0.41 
"Squash, summer, cooked",180.0,"1 cup, sliced",36.0,1.6,2.5,4.7,1.8,0.1, $0.60 
"Squash, summer, raw",323.0,1 large,51.7,3.9,3.6,7.1,6.5,0.1, $0.92 
"Squid, cooked, fried",85.0,3 oz,148.8,15.2,0.0,0.0,260.1,1.6, $1.01 
"Strawberries, canned, in heavy syrup",254.0,1 cup,233.7,1.4,4.3,55.4,10.2,0.0, $1.40 
"Strawberries, frozen, sweetened",284.0,1 package (10 oz),221.5,1.5,5.4,52.9,2.8,0.0, $1.42 
"Strawberries, frozen, unsweetened",149.0,"1 cup, unthawed",52.2,0.6,3.1,6.8,3.0,0.0, $0.74 
"Strawberries, raw",232.0,"1 cup, pureed",74.2,1.6,4.6,11.3,2.3,0.0, $1.49 
"Sugars, brown",220.0,"1 cup, packed",836.0,0.3,0.0,213.4,61.6,0.0, $0.39 
"Sugars, granulated",4.2,1 tsp,16.3,0.0,0.0,4.2,0.0,0.0, $0.01 
"Sunflower seed kernels, oil roasted, w/ salt",28.4,1 oz,167.8,5.7,3.0,0.9,207.8,2.0, $0.17 
"Sweet potato, cooked, baked in skin, flesh",180.0,1 large,162.0,3.6,5.9,11.7,64.8,0.1, $0.96 
"Sweet potato, cooked, boiled, w/o skin",151.0,1 medium,114.8,2.1,3.8,8.7,40.8,0.0, $0.37 
"Sweet potato, raw, unprepared",130.0,"1 sweetpotato, 5 in. long",111.8,2.0,3.9,5.4,71.5,0.0, $0.40 
"Sweet potatoes, french fries, frozen, unprepared",85.0,3 oz,129.2,1.3,3.1,7.0,194.7,0.4, $0.26 
"Syrups, pancake",20.0,1 tbsp,46.8,0.0,0.0,4.3,16.4,0.0, $0.12 
"Syrups, pancake, reduced calorie",15.0,1 tbsp,24.8,0.0,0.0,4.9,26.7,0.0, $0.06 
Taco shells,12.7,1 taco,60.5,0.8,0.9,0.2,41.1,0.9, $0.14 
"Taco w/ beef, cheese & lettuce",69.0,"1 each, taco",158.0,6.1,2.7,0.6,273.9,3.0, $0.54 
"Taco w/ chicken, cheese & lettuce",98.0,"1 each, taco",185.2,13.0,1.2,1.3,600.7,2.5, $0.77 
Tamales (navajo),186.0,1 piece,284.6,11.7,5.8,1.8,794.2,4.5, $0.33 
"Tangerine juice, raw",30.9,1 fl oz,13.3,0.2,0.1,3.1,0.3,0.0, $0.11 
"Tangerines, (mandarin oranges), raw",76.0,1 small  (2-1/4 in. diameter),40.3,0.6,1.4,8.0,1.5,0.0, $0.30 
"Taquitos, frozen, beef & cheese",42.0,1 piece,120.5,3.9,1.2,0.7,191.5,1.1, $0.19 
"Taquitos, frozen, chicken & cheese",42.0,1 piece,119.3,3.9,1.2,0.5,190.3,1.0, $0.19 
Taro chips,23.0,10 chips,114.5,0.5,1.7,0.9,78.7,1.5, $0.52 
Tartar sauce,30.0,2 tablespoons,63.3,0.3,0.2,1.3,200.1,1.0, $0.11 
"Tea, instant, sweetened w/ sugar, powder",259.0,1 cup (8 fl oz),90.7,0.0,0.3,21.6,5.2,0.0, $0.09 
Teriyaki sauce,36.0,1 fl oz,32.0,2.1,0.0,5.1,1379.9,0.0, $0.19 
"Toaster pastries, fruit",54.0,1 pastry,209.5,2.3,0.5,14.1,180.4,2.0, $0.69 
"Tomato juice, canned",248.0,1 cup (8 fl oz),41.3,2.1,1.0,6.3,24.3,0.0, $0.31 
"Tomato sauce, canned, no salt added",245.0,1 cup,58.8,2.9,3.7,8.7,27.0,0.1, $0.60 
"Tomatoes, green, raw",182.0,1 large,41.9,2.2,2.0,7.3,23.7,0.1, $0.82 
"Tomatoes, red, ripe, raw",180.0,"1 cup, chopped or sliced",32.4,1.6,2.2,4.7,9.0,0.1, $0.97 
"Tortilla chips, light (baked w/ less oil)",16.0,10 chips,74.4,1.4,0.9,0.1,90.2,0.5, $0.12 
"Tortilla chips, lowfat",28.0,1 oz,116.2,3.1,1.5,0.2,144.8,0.2, $0.22 
"Tortilla chips, plain",53.3,1/4 bag,251.3,3.8,2.9,0.4,174.7,1.5, $0.41 
"Tortilla chips, unsalted, white corn",28.0,"1 bag, single serving",140.8,2.2,1.5,0.3,4.2,0.7, $0.22 
"Tortillas, corn",19.0,1 enchilada,41.4,1.1,1.2,0.2,8.6,0.1, $0.01 
"Tortillas, flour",32.0,"1 tortilla, medium (approx 6 in. diameter)",104.0,2.8,1.1,0.6,153.0,0.6, $0.06 
"Tortillas, whole wheat",41.0,"1 tortilla, 1 serving",127.1,4.0,4.0,1.0,209.9,2.0, $0.52 
"Trout, cooked",85.0,3 oz,161.5,22.6,0.0,0.0,57.0,1.3, $1.11 
Tuna salad,205.0,1 cup,383.4,32.9,0.0,0.0,824.1,3.2, $0.92 
"Tuna, fresh, bluefin, cooked",85.0,3 oz,156.4,25.4,0.0,0.0,42.5,1.4, $2.22 
"Tuna, fresh, yellowfin, raw",16.0,"1 cubic inch, boneless",17.4,3.9,0.0,0.0,7.2,0.0, $0.35 
"Turkey from whole, enhanced, light meat, meat only, cooked, roasted",85.0,1 serving,108.0,22.9,0.0,0.0,202.3,0.5, $0.64 
"Turkey from whole, light meat, meat & skin, cooked",85.0,1 serving,150.5,25.1,0.0,0.0,85.9,1.4, $0.53 
"Turkey from whole, neck, meat only, cooked",85.0,1 serving,137.7,19.1,0.0,0.0,209.1,1.9, $0.60 
"Turkey ham, cured turkey thigh meat",28.0,1 serving,35.3,4.9,0.1,0.4,348.0,0.4, $0.23 
"Turkey ham, sliced, extra lean, prepackaged or deli-sliced",20.0,1 cubic inch,24.8,3.9,0.0,0.0,207.6,0.2, $0.15 
"Turkey thigh, meat & skin, cooked, roasted",314.0,"1 thigh, bone removed",493.0,59.0,0.0,0.0,1372.2,8.3, $1.36 
"Turkey, dark meat, meat & skin, cooked, roasted",85.0,1 serving,169.2,21.7,0.0,0.0,175.1,2.7, $0.52 
"Turkey, drumstick, from whole bird, meat only, roasted",206.0,1 drumstick,286.3,62.1,0.0,0.0,203.9,1.2, $1.54 
"Turkey, drumstick, smoked, cooked, w/ skin",17.0,"1 cubic inch, boneless",35.4,4.7,0.0,0.0,169.3,0.5, $0.08 
"Turkey, light or dark meat, smoked, cooked, skin removed",42.0,"1 thick, slice (approx 3 in. x 2 in. x 3/8 in.)",71.4,12.3,0.0,0.0,418.3,0.7, $0.22 
"Turkey, light or dark meat, smoked, cooked, w/ skin",28.0,"1 medium, slice (approx 3 in. x 2 in. x 1/4 in.)",58.2,7.9,0.0,0.0,278.9,0.8, $0.16 
"Turkey, pork, & beef sausage, reduced fat, smoked",14.0,1 cubic inch,33.7,2.6,0.0,0.0,134.0,0.8, $0.10 
"Turkey, thigh, meat only, cooked, roasted",348.0,1 thigh,553.3,87.5,0.0,0.0,361.9,7.0, $2.60 
"Turkey, wing, meat & skin, cooked, roasted",186.0,"1 wing, bone removed",425.9,50.9,0.0,0.0,113.5,6.3, $1.10 
"Turkey, wing, meat only, cooked, roasted",85.0,3 oz,144.0,25.6,0.0,0.0,88.0,1.2, $0.95 
"Turnip greens, canned, no salt",144.0,1 cup,27.4,2.0,1.9,0.6,41.8,0.1, $0.27 
"Turnip greens, cooked, from frozen",220.0,1 package (10 oz) yields,63.8,7.4,7.5,1.7,33.0,0.2, $0.73 
"Turnips, raw",183.0,1 large,51.2,1.6,3.3,7.0,122.6,0.0, $0.51 
Vanilla cream pie,126.0,1 piece (1/8 of 9 in. diameter),350.3,6.0,0.8,16.0,327.6,5.1, $0.45 
"Veal, sirloin, lean, cooked, braised",183.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",373.3,62.1,0.0,0.0,148.2,3.3, $5.96 
"Veal, sirloin, lean, cooked, roasted",251.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",421.7,66.1,0.0,0.0,213.4,6.0, $7.97 
Vegetable broth,235.0,1 serving,11.8,0.0,0.0,2.0,940.0,0.0, $0.07 
Vegetable juice,243.0,1 serving,51.0,2.0,1.9,8.0,481.1,0.0, $1.97 
"Vegetable lo mein, w/o meat",136.0,1 cup,164.6,6.5,1.8,3.6,584.8,0.6, $0.55 
Vegetable oil,28.0,2 tbsp,247.5,0.0,0.0,0.0,0.0,1.8, $0.10 
"Vegetables, mixed (corn, lima beans, peas, green beans, crrt) canned, no salt",182.0,1 cup,67.3,2.5,5.6,4.4,47.3,0.1, $0.66 
"Vegetables, mixed, cooked, from frozen",275.0,1 package (10 oz) yields,178.8,7.9,12.1,8.6,96.3,0.1, $0.74 
Vegetarian fillets,85.0,1 fillet,246.5,19.6,5.2,0.7,416.5,2.4, $1.31 
Vegetarian stew,247.0,1 cup,303.8,42.0,2.7,3.1,988.0,1.2, $0.87 
"Vinegar, distilled",238.0,1 cup,42.8,0.0,0.0,0.1,4.8,0.0, $0.40 
"Waffles, plain, frozen, ready-to-heat",35.0,"1 waffle, square (4 in. square) (include frozen)",99.8,2.3,0.8,1.7,223.3,0.5, $0.25 
"Waffles, whole wheat, lowfat, frozen, rth",70.0,"1 serving, 2 waffles",179.9,5.0,3.0,3.0,389.9,0.5, $0.17 
"Walnuts, glazed",28.0,1 oz,140.0,2.3,1.0,9.0,124.9,1.0, $0.25 
"Watercress, raw",25.0,10 sprigs,2.8,0.6,0.1,0.1,10.3,0.0, $1.33 
"Watermelon, raw",152.0,"1 cup, diced",45.6,0.9,0.6,9.4,1.5,0.0, $0.33 
Wheat rolls,28.0,1 roll,76.4,2.4,1.1,0.5,146.7,0.4, $0.01 
"Whipped cream substitute, dietetic, made from powder mix",80.0,1 cup,80.0,0.7,0.0,8.5,84.8,2.5, $0.40 
"Whipped topping, frozen, lowfat",75.0,1 cup,168.0,2.3,0.0,17.7,54.0,8.5, $1.39 
"White rice, cooked",186.0,1 cup,241.8,4.4,0.6,0.2,0.0,0.1, $0.09 
"White rice, glutinous, cooked",174.0,1 cup,168.8,3.5,1.7,0.1,8.7,0.1, $0.08 
White sauce,125.0,.5 cup,183.8,4.8,0.3,5.5,442.5,3.6, $0.20 
Whole-wheat rolls,43.0,1 roll,114.4,3.7,3.2,3.6,224.0,0.4, $0.02 
Worcestershire sauce,275.0,1 cup,214.5,0.0,0.0,27.6,2695.0,0.0, $1.48 
"Yogurt, chocolate, nonfat milk",170.0,1 container (6 oz),190.4,6.0,2.0,25.4,229.5,0.0, $0.55 
"Yogurt, frozen, chocolate, non-fat milk, w/ low calorie sweetener",186.0,1 cup,199.0,8.2,3.7,23.5,150.7,0.9, $0.79 
"Yogurt, fruit variety, lowfat, w/ lo cal sweetener",245.0,1 cup (8 fl oz),257.3,11.9,0.0,7.1,142.1,2.2, $0.96 
"Yogurt, fruit variety, non-fat",125.0,1 container (4.4 oz),118.8,5.5,0.0,23.8,72.5,0.1, $0.41 
"Yogurt, plain, lowfat",227.0,1 container (8 oz),143.0,11.9,0.0,16.0,158.9,2.3, $0.89 
"Yogurt, plain, whole milk",227.0,1 container (8 oz),138.5,7.9,0.0,10.6,104.4,4.8, $1.01 
"Yogurt, vanilla, lowfat",227.0,1 container (8 oz),193.0,11.2,0.0,31.3,149.8,1.8, $0.89 
